edge_id,mean_speed,max_occupancy,mean_occupancy,waiting_time,sample_count,congested
-369011877#4,2.688,0.206,0.052,139.0,3380,1
-107545510#1,3.703,0.072,0.036,80.0,1663,1
369011875#3,2.814,0.120,0.061,58.0,2688,1
107537275#9,1.904,0.174,0.176,105.0,79,1
-84718335#2,2.205,0.083,0.076,0.0,191,1
-365435376#6,2.063,0.223,0.223,0.0,55,1
502799827#2,2.329,0.299,0.148,0.0,749,1
-83715145#1,1.749,0.101,0.051,0.0,5049,1
-717018706#3,2.722,0.184,0.063,15.0,454,1
-323470714#5,1.918,0.315,0.073,0.0,4296,1
-107537240#0,2.258,0.328,0.046,5814.0,14666,1
427091880#6,2.741,0.390,0.098,0.0,6180,1
435383360#2,2.722,0.246,0.050,229.0,8145,1
787792398,0.251,20.342,18.492,6.0,11,1
323470714#5,1.930,0.148,0.075,0.0,845,1
427091882#2,2.843,0.142,0.064,6.0,78,1
-106618195#11,2.501,0.098,0.094,1.0,21,1
-107537251#0,1.743,0.076,0.080,0.0,76,1
106734696#3,3.006,0.134,0.125,3.0,39,1
1207275288#5,1.793,0.242,0.031,6174.0,9219,1
751775962#1,3.710,0.706,0.848,0.0,301,1
-306620331#4,1.909,0.526,0.170,0.0,1582,1
-427091880#4,1.857,0.571,0.191,15.0,3329,1
1010345641,2.211,0.125,0.143,0.0,105,1
-106621766#1,2.528,0.334,0.163,0.0,529,1
107537246#0,3.326,0.117,0.088,4.0,53,1
-107537252#2,2.896,0.052,0.056,3.0,100,1
106734696#2,3.491,0.120,0.100,2.0,24,1
-502799827#2,1.934,0.150,0.146,0.0,378,1
-365435694#2,2.450,0.306,0.141,25.0,341,1
306604006#3,2.514,0.335,0.084,286.0,6831,1
83718177,2.754,0.264,0.067,0.0,2000,1
83718178,3.071,0.210,0.213,0.0,369,1
385158753#1,2.794,0.061,0.063,0.0,29,1
1206163259#0,2.003,0.194,0.022,5.0,11528,1
390855006#3,2.086,0.060,0.059,0.0,276,1
83715120#4,3.020,0.120,0.058,34.0,1038,1
-1446819416#0,2.610,0.349,0.192,10.0,113,1
463462865#0,2.431,0.072,0.071,0.0,142,1
106618518#5,3.223,0.323,0.056,12.0,7172,1
-106618518#3,3.481,0.100,0.099,244.0,3597,1
435383360#6,1.598,0.658,0.078,105200.0,7597,1
83737118#10,2.142,0.554,0.141,10.0,3065,1
106621765#0,2.759,0.111,0.056,0.0,621,1
427091880#2,2.674,0.254,0.084,0.0,2919,1
1205943242,2.228,0.336,0.124,0.0,1440,1
390332915#5,0.550,0.476,0.034,1473037.0,46625,1
555847194#1-AddedOnRampEdge,3.395,0.079,0.009,50.0,13872,1
1205943240,3.868,0.833,1.011,98.0,714,1
-306604006#4,2.869,0.335,0.086,238.0,4951,1
83737118#7,2.229,0.450,0.075,6.0,5450,1
-258418598#0,2.095,0.052,0.053,0.0,184,1
-711187486#0,2.288,0.456,0.047,3178.0,27535,1
717018706#7,2.609,0.179,0.059,173.0,719,1
-69421363#1,2.690,0.395,0.057,0.0,8862,1
320534853#2,2.220,0.195,0.049,0.0,2671,1
83718172#1,2.668,0.260,0.064,0.0,4084,1
-427091880#10,1.858,0.599,0.203,0.0,3292,1
-306603560#1,1.967,0.277,0.068,0.0,547,1
-751775961#1,1.803,0.348,0.043,0.0,15712,1
314619549#10,1.970,0.289,0.324,0.0,35,1
83737073#6,2.620,0.115,0.109,4.0,70,1
-711187486#3,2.251,0.477,0.096,643.0,13891,1
502445610,1.971,0.593,0.316,13.0,1039,1
-365435693#1,1.773,0.309,0.150,0.0,2314,1
717018699#1,2.685,0.108,0.108,72.0,123,1
83737122#0,2.192,0.058,0.064,0.0,77,1
-107552045#5,3.306,0.323,0.109,154.0,2266,1
-385167820,2.112,0.471,0.040,27169.0,30881,1
-106705207#2,3.078,0.025,0.016,3.0,309,1
-391062138,1.692,0.754,0.122,13994.0,11337,1
-306611196#1,2.834,0.185,0.059,7.0,204,1
-306603445#1,2.678,0.106,0.063,0.0,18,1
314619549#9,2.229,0.117,0.108,0.0,57,1
42980561#5,1.996,0.058,0.062,0.0,125,1
464436714#1,2.737,0.077,0.079,0.0,803,1
106734538,2.862,0.042,0.041,7.0,331,1
107545510#2,2.939,0.170,0.166,4.0,41,1
